#{"t_start": 1652374387.1519566, "env_id": null}
r,l,t
913.57394,1,5.367235
834.420799,1,9.514294
846.03564,1,13.599775
804.797013,1,17.339466
766.372289,1,20.709683
749.429948,1,24.264913
793.611905,1,27.775669
816.579301,1,31.550977
759.69133,1,34.937059
861.835608,1,38.876098
793.075137,1,42.623065
810.267571,1,46.105894
750.652312,1,49.475169
872.849479,1,53.459598
814.882735,1,57.217351
816.911091,1,60.930948
763.11503,1,64.747617
765.555554,1,68.435181
810.853345,1,72.077911
762.742671,1,75.482082
887.130129,1,79.62797
1033.519793,1,84.743544
776.39609,1,88.341733
792.567211,1,92.024257
769.413061,1,95.727626
811.022992,1,99.289621
854.740938,1,103.086354
836.275318,1,106.779036
748.137548,1,110.378407
784.89861,1,113.913796
873.808476,1,117.86341
809.028486,1,121.49108
855.632112,1,125.284198
888.366151,1,129.342402
842.306164,1,133.19499
827.035006,1,136.877742
730.890803,1,140.403767
792.596529,1,143.904958
810.270465,1,147.628678
796.99866,1,151.454485
830.94189,1,155.243813
846.149913,1,158.981497
1035.138478,1,164.336256
800.375256,1,168.054088
793.489274,1,171.865619
779.929823,1,175.43492
814.165012,1,179.200629
917.932752,1,183.481414
772.708599,1,187.021183
833.069489,1,190.859637
849.783881,1,194.846378
741.052917,1,198.323078
855.839887,1,202.348391
833.324888,1,206.206971
817.127185,1,209.819348
776.398743,1,213.437892
731.307885,1,216.767489
794.844963,1,220.481046
779.700584,1,223.891026
773.625259,1,227.507595
873.024538,1,231.491007
794.210525,1,235.157194
757.491284,1,238.868918
791.681499,1,242.429305
762.841652,1,245.930502
758.660289,1,249.557005
798.936244,1,253.341351
734.602075,1,257.036686
752.483443,1,260.596044
764.651571,1,264.258089
1033.562111,1,269.771628
806.909002,1,273.446694
781.898238,1,276.969275
927.240296,1,281.517292
747.084011,1,284.933711
775.765001,1,288.662202
845.120861,1,292.499458
791.827708,1,296.130821
765.622858,1,299.763162
822.678047,1,303.366918
794.881227,1,306.94324
911.328132,1,311.299786
791.708442,1,314.72851
753.605231,1,317.925546
745.020382,1,321.212448
780.185349,1,324.936436
817.193943,1,328.487027
785.632632,1,331.732017
718.944426,1,335.052762
801.27337,1,338.512339
815.026289,1,342.00493
762.913795,1,345.25312
801.861037,1,348.766712
778.158617,1,352.08368
786.399871,1,355.595945
733.133512,1,358.79236
745.808478,1,362.143175
1079.990691,1,366.998123
835.403024,1,370.646923
862.447571,1,374.423885
856.477246,1,377.999696
770.677253,1,381.472081
806.274186,1,385.034565
786.884098,1,388.533655
852.266001,1,392.17815
991.41186,1,396.643588
828.915003,1,400.346824
830.959102,1,403.999008
843.292892,1,407.681771
713.659521,1,410.868508
822.14788,1,414.512462
784.813578,1,418.027097
835.806282,1,421.48931
728.029433,1,424.814383
854.705198,1,428.45295
776.920864,1,431.864218
796.152716,1,435.337554
874.002523,1,438.98744
821.368059,1,442.567994
774.073378,1,446.133773
829.938867,1,449.823717
812.084778,1,453.291783
769.862894,1,456.763925
886.338406,1,460.540622
792.885577,1,464.063826
760.761425,1,467.508583
791.434454,1,470.969639
890.06118,1,474.617762
760.332154,1,477.947791
855.686206,1,481.630805
807.399176,1,485.203347
805.037714,1,488.780628
797.442577,1,492.190077
881.04215,1,495.828204
773.358364,1,499.404031
850.383269,1,503.011734
860.893446,1,506.697742
755.498816,1,510.112328
734.233013,1,513.328912
779.535966,1,516.686105
850.041243,1,520.451868
805.058263,1,524.124086
778.328404,1,527.466393
870.744995,1,531.353316
793.584451,1,534.641026
780.892319,1,538.168342
847.668054,1,541.802435
856.705592,1,545.293556
745.442618,1,548.475152
867.042634,1,552.312172
795.076521,1,555.889054
849.363257,1,559.245498
803.121736,1,562.672711
814.40245,1,566.222607
828.371579,1,570.006062
710.819008,1,573.195598
821.176292,1,576.713324
943.28106,1,581.293468
834.958146,1,584.923501
848.869342,1,588.539382
830.729519,1,592.070158
769.394368,1,595.557627
805.568193,1,598.94445
911.192798,1,602.681245
800.696903,1,605.955585
826.830602,1,609.562069
809.354045,1,613.211884
843.016873,1,616.639466
776.93168,1,620.233999
773.472433,1,623.684885
772.867036,1,627.268308
906.116611,1,630.998655
849.243779,1,634.570733
778.807425,1,638.139349
830.786105,1,641.697354
731.946643,1,644.88292
894.937618,1,648.705961
818.796959,1,652.175954
761.878676,1,655.514352
